Aditya Birla Sun Life AMC Limited,119646,Aditya Birla Sun Life MNC Fund,Open Ended,Growth,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,5000,16-Nov-1998,16-Nov-1998,INF209K01VT3
Aditya Birla Sun Life AMC Limited,119647,Aditya Birla Sun Life MNC Fund,Open Ended,Growth,Aditya Birla Sun Life MNC Fund - Dividend - Direct Plan,5000,16-Nov-1998,16-Nov-1998,INF209K01Q06INF209K01VU1
Aditya Birla Sun Life AMC Limited,100065,Aditya Birla Sun Life India Opportunities Fund,Open Ended,Growth,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,5000,02-Mar-1995,02-Mar-1995,INF209K01280INF209K01CK2
Aditya Birla Sun Life AMC Limited,100066,Aditya Birla Sun Life India Opportunities Fund,Open Ended,Growth,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,5000,02-Mar-1995,02-Mar-1995,INF209K01298
Aditya Birla Sun Life AMC Limited,119617,Aditya Birla Sun Life India Opportunities Fund,Open Ended,Growth,Aditya Birla Sun Life India Opportunities Fund - Dividend - Direct Plan,5000,02-Mar-1995,02-Mar-1995,INF209K01P98
Aditya Birla Sun Life AMC Limited,119618,Aditya Birla Sun Life India Opportunities Fund,Open Ended,Growth,Aditya Birla Sun Life India Opportunities Fund - Growth - Direct Plan,5000,02-Mar-1995,02-Mar-1995,INF209K01VR7
Aditya Birla Sun Life AMC Limited,100067,Aditya Birla Sun Life Tax Plan,Open Ended,ELSS,Aditya Birla Sun Life Tax Plan - Regular Plan - Dividend Option,Rs 1,02-Feb-1999,,INF209K01330INF209K01CM8
Aditya Birla Sun Life AMC Limited,104331,Aditya Birla Sun Life Tax Plan,Open Ended,ELSS,Aditya Birla Sun Life Tax Plan - Regular Plan - Growth Option,Rs 1,02-Feb-1999,,INF209K01348
Aditya Birla Sun Life AMC Limited,119660,Aditya Birla Sun Life Tax Plan,Open Ended,ELSS,Aditya Birla Sun Life Tax Plan - Direct Plan - Dividend Option,Rs 1,02-Feb-1999,,INF209K01Q14INF209K01VW7
Aditya Birla Sun Life AMC Limited,119661,Aditya Birla Sun Life Tax Plan,Open Ended,ELSS,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,Rs 1,02-Feb-1999,,INF209K01VV9
Baroda Pioneer Asset Management Company Limited,100068,BARODA PIONEER ELSS 96,Open Ended,ELSS,BARODA PIONEER ELSS 96 - Plan A - Dividend,1000,30-Mar-1996,,INF955L01641
Baroda Pioneer Asset Management Company Limited,119339,BARODA PIONEER ELSS 96,Open Ended,ELSS,BARODA PIONEER ELSS 96 - Plan B (Direct) - Dividend,1000,30-Mar-1996,,INF955L01914
Baroda Pioneer Asset Management Company Limited,125110,BARODA PIONEER ELSS 96,Open Ended,ELSS,Baroda Pioneer ELSS 96 Fund - Plan A- Bonus Option,1000,30-Mar-1996,,INF955L01CZ6
Baroda Pioneer Asset Management Company Limited,125111,BARODA PIONEER ELSS 96,Open Ended,ELSS,Baroda Pioneer ELSS 96 - Plan B (Direct)- Bonus Option,1000,30-Mar-1996,,INF955L01DA7
Baroda Pioneer Asset Management Company Limited,134044,BARODA PIONEER ELSS 96,Open Ended,ELSS,Baroda Pioneer ELSS 96 Plan A -Growth Option,1000,30-Mar-1996,,INF955L01GD4
Baroda Pioneer Asset Management Company Limited,134045,BARODA PIONEER ELSS 96,Open Ended,ELSS,Baroda Pioneer ELSS 96 Plan B(Direct) -Growth Option,1000,30-Mar-1996,,INF955L01GE2
DSP BlackRock Investment Managers Private Limited,100077,DSP BlackRock Bond Fund,Open Ended,Income,DSP BlackRock Bond Fund - Dividend,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01565INF740K01995
DSP BlackRock Investment Managers Private Limited,100078,DSP BlackRock Bond Fund,Open Ended,Income,DSP BlackRock Bond Fund - Growth,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01557
DSP BlackRock Investment Managers Private Limited,100079,DSP BlackRock Bond Fund,Open Ended,Income,DSP BlackRock Bond Fund - Monthly Dividend,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01573INF740K01AA1
DSP BlackRock Investment Managers Private Limited,118921,DSP BlackRock Bond Fund,Open Ended,Income,DSP BlackRock Bond Fund - Direct Plan - Monthly Dividend,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01NA4INF740K01NC0
DSP BlackRock Investment Managers Private Limited,118922,DSP BlackRock Bond Fund,Open Ended,Income,DSP BlackRock Bond Fund - Direct Plan - Dividend,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01NB2INF740K01ND8
DSP BlackRock Investment Managers Private Limited,118924,DSP BlackRock Bond Fund,Open Ended,Income,DSP BlackRock Bond Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01MZ3
DSP BlackRock Investment Managers Private Limited,100080,DSP BlackRock Equity Fund,Open Ended,Growth,DSP BlackRock Equity Fund - Regular Plan - Dividend,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997,INF740K01011INF740K01029
DSP BlackRock Investment Managers Private Limited,105875,DSP BlackRock Equity Fund,Open Ended,Growth,DSP BlackRock Equity Fund - Regular Plan - Growth,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997,INF740K01037
DSP BlackRock Investment Managers Private Limited,119076,DSP BlackRock Equity Fund,Open Ended,Growth,DSP BlackRock Equity Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997,INF740K01PI2
DSP BlackRock Investment Managers Private Limited,119077,DSP BlackRock Equity Fund,Open Ended,Growth,DSP BlackRock Equity Fund - Direct Plan - Dividend,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997,INF740K01PJ0INF740K01PK8
DSP BlackRock Investment Managers Private Limited,119019,DSP BlackRock Equity & Bond Fund,Open Ended,Balanced,DSP BlackRock Equity & Bond Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999,INF740K01NY4
DSP BlackRock Investment Managers Private Limited,119020,DSP BlackRock Equity & Bond Fund,Open Ended,Balanced,DSP BlackRock Equity & Bond Fund - Direct Plan - Dividend,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999,INF740K01NZ1INF740K01OA2
DSP BlackRock Investment Managers Private Limited,100081,DSP BlackRock Equity & Bond Fund,Open Ended,Balanced,DSP BlackRock Equity & Bond Fund- Regular Plan - Growth,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999,INF740K01318
DSP BlackRock Investment Managers Private Limited,100082,DSP BlackRock Equity & Bond Fund,Open Ended,Balanced,DSP BlackRock Equity & Bond Fund- Regular Plan -Dividend,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999,INF740K01326INF740K01334
DSP BlackRock Investment Managers Private Limited,100084,DSP BlackRock Government Securities Fund,Open Ended,Gilt,DSP BlackRock Government Securities Fund - Regular Plan - Growth,Rs. 1000/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01615
DSP BlackRock Investment Managers Private Limited,100085,DSP BlackRock Government Securities Fund,Open Ended,Gilt,DSP BlackRock Government Securities Fund - Regular Plan - Dividend,Rs. 1000/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01607INF740K01AD5
DSP BlackRock Investment Managers Private Limited,100086,DSP BlackRock Government Securities Fund,Open Ended,Gilt,DSP BlackRock Government Securities Fund - Regular Plan - Monthly Dividend,Rs. 1000/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01623INF740K01AE3
DSP BlackRock Investment Managers Private Limited,119099,DSP BlackRock Government Securities Fund,Open Ended,Gilt,DSP BlackRock Government Securities Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NF3
DSP BlackRock Investment Managers Private Limited,119100,DSP BlackRock Government Securities Fund,Open Ended,Gilt,DSP BlackRock Government Securities Fund - Direct Plan - Monthly Dividend,Rs. 1000/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NE6INF740K01NH9
DSP BlackRock Investment Managers Private Limited,119101,DSP BlackRock Government Securities Fund,Open Ended,Gilt,DSP BlackRock Government Securities Fund - Direct Plan - Dividend,Rs. 1000/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NG1INF740K01NI7
DSP BlackRock Investment Managers Private Limited,100087,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Regular Plan - Growth,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01714
DSP BlackRock Investment Managers Private Limited,100088,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Regular Plan - Dividend,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01706INF740K01AJ2
DSP BlackRock Investment Managers Private Limited,100089,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Regular Plan - Monthly Dividend,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01722INF740K01AK0
DSP BlackRock Investment Managers Private Limited,139304,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Unclaimed Redemption - Beyond 3 years,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,
DSP BlackRock Investment Managers Private Limited,139305,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Unclaimed Dividend - Upto 3 years,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,
DSP BlackRock Investment Managers Private Limited,139306,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Unclaimed Dividend - Beyond 3 years,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,
DSP BlackRock Investment Managers Private Limited,139303,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Unclaimed Redemption - Upto 3 years,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,
DSP BlackRock Investment Managers Private Limited,119106,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Direct Plan - Growth,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NU2
DSP BlackRock Investment Managers Private Limited,119107,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Direct Plan - Monthly Dividend,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NT4INF740K01NW8
DSP BlackRock Investment Managers Private Limited,119108,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Direct Plan - Dividend,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NV0INF740K01NX6
DSP BlackRock Investment Managers Private Limited,123287,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Regular Plan - Daily Dividend,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,
DSP BlackRock Investment Managers Private Limited,123288,DSP BlackRock Savings Fund,Open Ended,Money Market,DSP BlackRock Savings Fund - Direct Plan - Daily Dividend,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,
DSP BlackRock Investment Managers Private Limited,103819,DSP BlackRock Equity Opportunities Fund,Open Ended,Growth,DSP BlackRock Equity Opportunities Fund-Regular Plan - Growth,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000,INF740K01094
DSP BlackRock Investment Managers Private Limited,103820,DSP BlackRock Equity Opportunities Fund,Open Ended,Growth,DSP BlackRock Equity Opportunities Fund-Regular Plan - Dividend,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000,INF740K01078INF740K01086
DSP BlackRock Investment Managers Private Limited,119218,DSP BlackRock Equity Opportunities Fund,Open Ended,Growth,DSP BlackRock Equity Opportunities Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000,INF740K01PL6
DSP BlackRock Investment Managers Private Limited,119219,DSP BlackRock Equity Opportunities Fund,Open Ended,Growth,DSP BlackRock Equity Opportunities Fund - Direct Plan - Dividend,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000,INF740K01PM4INF740K01PN2
HDFC Asset Management Company Limited (Corporate Identification Number - U65991MH1999PLC123027),100119,HDFC Growth Fund,Open Ended,Growth,HDFC Growth Fund - Growth Option,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000,INF179K01830
HDFC Asset Management Company Limited (Corporate Identification Number - U65991MH1999PLC123027),100120,HDFC Growth Fund,Open Ended,Growth,HDFC Growth Fund - Dividend Option,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000,INF179K01814INF179K01822
HDFC Asset Management Company Limited (Corporate Identification Number - U65991MH1999PLC123027),118968,HDFC Growth Fund,Open Ended,Growth,HDFC Growth Fund -Direct Plan - Growth Option,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000,INF179K01WA6
